戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
201610,8200,C,,,,950,,0,16
201610,8300,C,885,860,860,860,-80,17,127
201610,8400,C,,,,760,,0,250
201610,8500,C,720,650,650,660,-95,52,1199
201610,8600,C,605,560,560,560,-85,68,394
201610,8700,C,530,470,470,470,-80,93,575
201610,8800,C,445,381,381,381,-75,308,1003
201610,8900,C,364,296,298,298,-67,513,2282
201610,9000,C,268,219,222,222,-59,967,3507
201610,9100,C,198,150,153,153,-55,2198,7235
201610,9200,C,136,96,98,98,-43,7240,11187
201610,9300,C,84,55,56,56,-34,13195,21643
201610,9400,C,47,28,28.5,28.5,-21.5,12786,20710
201610,9500,C,24,13,13,13,-12.5,10039,23960
201610,9600,C,10,5.7,5.7,5.7,-5.8,7580,14686
201610,9700,C,3.9,2.2,2.6,2.6,-1.9,3909,13041
201610,9800,C,1.7,1.3,1.3,1.3,-0.8,1341,6056
201610,9900,C,1,0.8,0.9,0.9,-0.3,977,3092
201610,10000,C,0.7,0.5,0.6,0.6,-0.1,352,2224
201610,10200,C,0.4,0.4,0.4,0.4,0,89,1579
201610,8200,P,3.3,2.7,3.2,3.2,0.7,1154,8717
201610,8300,P,4.8,3.8,4.7,4.7,1.4,794,8246
201610,8400,P,6.8,4.5,6.6,6.6,2,1685,9134
201610,8500,P,10.5,7.3,10.5,10.5,3.4,4021,15057
201610,8600,P,15,10,14,14,4.1,5327,14581
201610,8700,P,22,15,22,22,7.5,6256,15647
201610,8800,P,32.5,22.5,31.5,31.5,10,10010,18444
201610,8900,P,47.5,33,46.5,46.5,14.5,8580,17666
201610,9000,P,70,48.5,69,69,22,10941,18174
201610,9100,P,102,73,100,100,29,9685,12871
201610,9200,P,147,105,145,145,40,6791,8340
201610,9300,P,206,158,205,205,53,1868,1781
201610,9400,P,280,216,277,277,60,449,719
201610,9500,P,362,304,362,362,73,68,198
201610,9600,P,448,355,448,459,80,9,35
201610,9700,P,540,525,535,550,67,10,22
201610,9800,P,,,,650,,0,18
201610,9900,P,,,,750,,0,12
201610,10000,P,,,,850,,0,3
201610,10200,P,,,,1050,,0,0
