戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
201510,7200,C,1000,1000,1000,935,95,1,42
201510,7300,C,,,,840,,0,101
201510,7400,C,740,740,740,740,15,3,168
201510,7500,C,655,590,655,655,25,4,111
201510,7600,C,560,499,560,560,15,10,393
201510,7700,C,480,425,474,474,8,46,609
201510,7800,C,435,350,399,399,20,357,1426
201510,7900,C,331,278,320,320,19,1414,2256
201510,8000,C,265,211,250,250,12,2743,4490
201510,8100,C,202,154,189,189,14,6941,4290
201510,8200,C,144,107,133,133,9,9913,7185
201510,8300,C,96,70,89,89,8,13968,14402
201510,8400,C,58,42,55,55,6,14573,16800
201510,8500,C,33.5,23,31,31,3,13611,23214
201510,8600,C,17.5,11.5,16,16,2,13923,37454
201510,8700,C,9,6.5,8.8,8.8,1.5,8713,28856
201510,8800,C,5,3.4,4.7,4.7,0.2,4283,26050
201510,8900,C,3,1.9,2.7,2.7,0.6,2857,16602
201510,9000,C,2.5,1.1,1.7,1.7,0,2337,21432
201510,9100,C,1.5,0.7,1.2,1.2,0.2,1231,12866
201510,7200,P,25.5,13,14.5,14.5,-4.5,5493,14666
201510,7300,P,32.5,17.5,19.5,19.5,-6,5938,14993
201510,7400,P,42,23.5,26,26,-7.5,7920,16931
201510,7500,P,54,31,33,33,-9.5,9889,19764
201510,7600,P,68,41,45,45,-10,11385,16196
201510,7700,P,88,53,60,60,-10,13625,12400
201510,7800,P,111,69,78,78,-13,15289,14579
201510,7900,P,140,90,102,102,-15,10182,11902
201510,8000,P,177,98,131,131,-17,13139,14870
201510,8100,P,220,151,168,168,-17,7330,9242
201510,8200,P,272,192,211,211,-19,3159,7029
201510,8300,P,335,220,265,265,-26,1706,5671
201510,8400,P,405,320,338,338,-22,553,3433
201510,8500,P,485,383,420,420,-20,203,2129
201510,8600,P,570,480,500,500,-30,155,1457
201510,8700,P,630,590,590,590,-20,6,779
201510,8800,P,740,690,690,690,-20,5,376
201510,8900,P,815,780,805,790,-5,3,329
201510,9000,P,,,,890,,0,185
201510,9100,P,990,980,990,990,-20,36,129
