戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
201910,9900,C,,,,930,,0,11
201910,10000,C,840,840,840,830,-20,4,235
201910,10100,C,780,770,770,735,10,6,66
201910,10200,C,680,660,660,640,0,2,84
201910,10300,C,620,620,620,545,55,1,194
201910,10400,C,499,447,455,455,-19,59,377
201910,10500,C,415,358,367,367,-17,267,856
201910,10600,C,335,273,283,283,-13,138,1442
201910,10700,C,255,195,202,202,-15,885,3952
201910,10800,C,178,128,135,135,-13,2468,6722
201910,10900,C,113,76,79,79,-11,6045,14342
201910,11000,C,64,40,42,42,-6,8293,22949
201910,11100,C,31.5,18,18.5,18.5,-4,7909,29224
201910,11200,C,14.5,8.1,8.3,8.3,-1.7,7179,21145
201910,11300,C,6.3,3.4,3.4,3.4,-0.9,3768,13649
201910,11400,C,3.1,1.6,1.6,1.6,-0.4,426,6717
201910,11500,C,1.2,0.9,0.9,0.9,-0.3,246,3215
201910,11600,C,0.8,0.8,0.8,0.7,-0.1,220,1798
201910,11800,C,0.3,0.3,0.3,0.3,-0.2,1,157
201910,9900,P,9,6.4,7.2,7.2,-1,2346,5493
201910,10000,P,11.5,8.2,9.2,9.2,-1.3,567,10563
201910,10100,P,14.5,10.5,12.5,12.5,-0.5,1268,8875
201910,10200,P,19,13.5,16,16,-0.5,1801,14280
201910,10300,P,25.5,18.5,23,23,0.5,8484,24303
201910,10400,P,33.5,23.5,30,30,-0.5,6264,26578
201910,10500,P,44.5,32,40,40,-0.5,4657,20094
201910,10600,P,61,43,57,57,2,5363,21772
201910,10700,P,85,60,80,80,5,7440,14838
201910,10800,P,118,83,111,111,7,6446,11322
201910,10900,P,164,117,156,156,9,4127,8672
201910,11000,P,228,168,216,216,8,1517,2408
201910,11100,P,307,237,295,295,16,356,702
201910,11200,P,396,325,396,385,29,52,278
201910,11300,P,488,447,488,480,27,25,50
201910,11400,P,530,530,530,580,-30,1,113
201910,11500,P,,,,680,,0,4
201910,11600,P,,,,780,,0,0
201910,11700,P,,,,880,,0,0
201910,11800,P,,,,980,,0,0
