戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
202308,16100,C,850,770,770,755,-320,5,21
202308,16200,C,755,670,685,665,-310,9,37
202308,16300,C,765,575,595,580,-300,10,64
202308,16400,C,685,500,500,500,-300,24,36
202308,16500,C,690,408,422,422,-288,1313,1475
202308,16600,C,575,339,348,348,-272,125,476
202308,16700,C,500,270,295,280,-245,324,461
202308,16750,C,311,241,248,248,-249,255,169
202308,16800,C,436,212,220,220,-232,784,4406
202308,16850,C,257,186,188,188,-229,349,220
202308,16900,C,402,161,163,163,-209,2031,1439
202308,16950,C,301,140,151,142,-193,513,224
202308,17000,C,284,118,122,122,-174,5456,4811
202308,17050,C,253,100,106,102,-171,506,163
202308,17100,C,223,84,88,88,-150,3770,2936
202308,17150,C,192,69,72,72,-146,1075,510
202308,17200,C,170,56,59,59,-122,5189,4546
202308,17250,C,138,47,50,50,-118,1593,514
202308,17300,C,124,37,40.5,40.5,-95.5,5380,6065
202308,17350,C,103,30.5,35,33,-92,1569,525
202308,16100,P,37.5,11,35,35,23.5,1117,1988
202308,16200,P,48,14,47,47,32,2561,2884
202308,16300,P,63,18.5,60,60,42,2790,4534
202308,16400,P,81,24,77,77,52.5,2602,3170
202308,16500,P,102,32,101,101,68,6968,6695
202308,16600,P,131,42,126,126,83,3325,4069
202308,16700,P,165,56,160,160,104,4040,3862
202308,16750,P,182,64,171,179,114,624,316
202308,16800,P,206,74,203,203,128,5812,4128
202308,16850,P,226,85,217,217,140,482,227
202308,16900,P,255,97,248,248,151,2918,3667
202308,16950,P,282,120,272,272,168,304,89
202308,17000,P,312,127,302,302,177,3241,3636
202308,17050,P,342,156,318,318,181,330,91
202308,17100,P,377,165,364,364,205,2931,2574
202308,17150,P,397,190,397,397,219,161,91
202308,17200,P,450,210,430,439,222,3046,2132
202308,17250,P,454,240,454,480,226,44,26
202308,17300,P,525,263,491,520,239,2567,1945
202308,17350,P,525,341,494,565,208,74,17
