戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
201607,7700,C,,,,865,,0,84
201607,7800,C,745,715,745,765,75,42,375
201607,7900,C,,,,665,,0,414
201607,8000,C,565,545,560,565,86,15,606
201607,8100,C,466,436,466,466,80,60,1015
201607,8200,C,377,332,377,377,79,111,2196
201607,8300,C,288,237,283,283,72,1068,4429
201607,8400,C,207,157,199,199,59,2796,7673
201607,8500,C,132,93,123,123,40,10662,18457
201607,8600,C,73,49,70,70,26.5,13303,18972
201607,8700,C,34.5,23,33,33,13,14689,27047
201607,8800,C,14,10,12.5,12.5,3.1,12477,36232
201607,8900,C,5.6,3.9,4.8,4.8,0.9,5590,29707
201607,9000,C,2.5,1.3,2.1,2.1,0.2,3011,28862
201607,9100,C,1,0.6,1,1,0.2,1377,11805
201607,9200,C,0.4,0.1,0.1,0.1,-0.4,41,6245
201607,9300,C,0.3,0.3,0.3,0.1,0,4,4082
201607,9400,C,0.3,0.3,0.3,0.1,0.2,200,1662
201607,9500,C,0.3,0.3,0.3,0.1,0.2,200,946
201607,9600,C,0.3,0.3,0.3,0.1,0.2,100,334
201607,7700,P,3.3,1.6,2,2,-1.5,915,18722
201607,7800,P,3.2,2.3,2.6,2.6,-1.9,1230,20745
201607,7900,P,6.8,3.4,3.8,3.8,-3.2,2761,23044
201607,8000,P,8,4.8,5.4,5.4,-4.5,6412,29701
201607,8100,P,11,7.2,7.7,7.7,-8.3,6397,26490
201607,8200,P,19,11.5,12.5,12.5,-12.5,9407,26365
201607,8300,P,32,20,20.5,20.5,-22.5,14256,23874
201607,8400,P,55,35.5,36.5,36.5,-34.5,17255,29044
201607,8500,P,93,62,64,64,-50,12455,16639
201607,8600,P,148,104,108,108,-66,5700,6817
201607,8700,P,212,165,171,171,-80,1315,2575
201607,8800,P,294,248,248,248,-95,301,988
201607,8900,P,390,340,340,340,-93,54,378
201607,9000,P,465,440,440,440,-90,20,176
201607,9100,P,550,545,550,540,-80,2,26
201607,9200,P,,,,640,,0,35
201607,9300,P,740,740,740,740,-90,1,11
201607,9400,P,,,,840,,0,15
201607,9500,P,,,,940,,0,3
201607,9600,P,,,,1040,,0,6
