戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
201908,9500,C,,,,940,,0,45
201908,9600,C,835,830,830,845,70,10,36
201908,9700,C,,,,745,,0,68
201908,9800,C,655,570,655,650,85,4,51
201908,9900,C,555,520,550,550,73,12,225
201908,10000,C,466,394,460,460,70,61,700
201908,10100,C,381,304,369,369,60,175,804
201908,10200,C,294,219,283,283,53,1044,1919
201908,10300,C,214,148,204,204,48,3123,3444
201908,10400,C,141,90,130,130,32,7037,7692
201908,10500,C,83,50,75,75,19,12162,12220
201908,10600,C,42,23.5,36,36,9,14531,17188
201908,10700,C,18,10.5,14,14,1.5,7773,16729
201908,10800,C,7.7,5.2,6.1,6.1,-0.3,5038,19299
201908,10900,C,3.9,2.9,3.2,3.2,-0.6,2720,22082
201908,11000,C,2.4,1.8,1.8,1.8,-1.1,1456,18636
201908,11100,C,1.9,1.2,1.5,1.5,-0.8,782,16703
201908,11200,C,1.5,1,1.1,1.1,-0.7,77,11749
201908,11300,C,1.1,0.6,1,1,-0.5,303,5997
201908,11400,C,1,1,1,0.9,-0.2,50,3930
201908,9500,P,9,5,6.5,6.5,-3.3,2500,4126
201908,9600,P,12,6.6,7.9,7.9,-5.1,2845,6173
201908,9700,P,16,8.7,10.5,10.5,-7,2292,8863
201908,9800,P,21.5,11,13,13,-10.5,2824,13164
201908,9900,P,29.5,15,17.5,17.5,-13.5,4598,9921
201908,10000,P,40,20.5,23,23,-20.5,7683,17927
201908,10100,P,55,29,30,30,-29,9965,13450
201908,10200,P,77,41,44,44,-37,12491,23554
201908,10300,P,107,59,63,63,-48,10364,15163
201908,10400,P,149,87,91,91,-61,6068,10219
201908,10500,P,205,128,136,136,-72,3756,9625
201908,10600,P,275,188,199,199,-83,1016,9212
201908,10700,P,362,266,276,276,-86,232,8899
201908,10800,P,453,357,373,373,-89,132,4011
201908,10900,P,545,456,471,471,-89,165,1878
201908,11000,P,615,560,565,565,-90,10,691
201908,11100,P,695,660,670,665,-85,12,188
201908,11200,P,825,820,825,765,-30,2,127
201908,11300,P,875,850,875,865,-80,4,87
201908,11400,P,965,965,965,965,-85,1,68
