戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
201507,8200,C,695,273,695,670,-50,83,252
201507,8300,C,580,480,540,570,-105,3,36
201507,8400,C,525,398,500,474,-45,19,46
201507,8500,C,385,270,375,375,-74,53,77
201507,8600,C,343,190,292,292,-64,1544,352
201507,8700,C,249,124,196,196,-63,5976,1624
201507,8750,C,206,94,157,157,-55,8978,1191
201507,8800,C,166,70,121,121,-55,27251,4380
201507,8850,C,132,50,89,89,-46,29532,4400
201507,8900,C,100,35,64,64,-42,79881,13311
201507,8950,C,71,23,44.5,44.5,-31.5,42262,8860
201507,9000,C,49,15,29,29,-27,105943,33495
201507,9050,C,31,9.6,19,19,-20,48791,17127
201507,9100,C,19,5.8,12,12,-13.5,53848,28261
201507,9150,C,11,3.3,7.7,7.7,-8.3,27246,17570
201507,9200,C,6.1,2.2,5.1,5.1,-4.6,33999,35376
201507,9250,C,3.3,1.5,3,3,-2.9,12665,17086
201507,9300,C,2.5,1.5,2.2,2.2,-1.7,13518,34570
201507,9350,C,1.5,1,1.5,1.5,-0.8,1815,5225
201507,9400,C,1.3,0.8,1.2,1.2,-0.3,6394,43651
201507,8200,P,10.5,1,1.2,1.2,-0.5,7507,5784
201507,8300,P,15.5,1.4,1.7,1.7,-0.1,17855,10001
201507,8400,P,25,1.9,2.5,2.5,-0.2,34011,16211
201507,8500,P,40,3.7,4.2,4.2,0.2,66027,24922
201507,8600,P,64,7.5,8.9,8.9,0.7,77666,26811
201507,8700,P,99,15.5,22,22,7,90661,25419
201507,8750,P,122,23.5,30,30,12,45040,6456
201507,8800,P,149,32,45.5,45.5,14,77118,27262
201507,8850,P,179,45,65,65,22.5,27102,3905
201507,8900,P,214,62,90,90,29,57349,23191
201507,8950,P,240,85,120,120,36,3850,939
201507,9000,P,295,112,150,150,39,21250,24437
201507,9050,P,340,105,190,190,45,1499,1723
201507,9100,P,447,182,238,238,58,7839,14412
201507,9150,P,396,231,280,280,58,169,870
201507,9200,P,480,266,326,326,61,3645,14641
201507,9250,P,500,322,370,377,58,58,210
201507,9300,P,580,373,428,428,65,2182,10177
201507,9350,P,530,428,428,475,16,27,40
201507,9400,P,800,470,510,525,53,645,3975
